_id	dataset.availability	dataset.provenance	dataset.redundancy	dataset.splits	dataset.done	dataset.skip	evaluation.availability	evaluation.comparison	evaluation.confidence	evaluation.measure	evaluation.method	evaluation.done	evaluation.skip	model.availability	model.duration	model.interpretability	model.output	model.done	model.skip	optimization.algorithm	optimization.config	optimization.encoding	optimization.features	optimization.fitting	optimization.meta	optimization.parameters	optimization.regularization	optimization.done	optimization.skip	user	publication.pmid	publication.updated	publication.authors	publication.journal	publication.title	publication.doi	publication.year	publication.done	publication.skip	public	created	updated	uuid	reviewState	shortid	update	__v	score	publication.tags[0]	publication.tags[1]	publication.tags[2]	publication.tags[3]	publication.tags[4]	publication.tags[5]	publication.tags[6]	publication.pmcid	isAiGenerated
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	39919746	10/03/2026 22:34:00	Suiter CC, Calderon D, Lee DS, Chiu M, Jain S, Chardon FM, Lee C, Daza RM, Trapnell C, Zheng N, Shendure J	Molecular cell	Combinatorial mapping of E3 ubiquitin ligases to their target substrates.	Not a relevant AI or machine learning publication	2025			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC11845296	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	38908793	10/03/2026 22:34:00	Gao Y, Kim K, Vitrac H, Salazar RL, Gould BD, Soedkamp D, Spivia W, Raedschelders K, Dinh AQ, Guzman AG, Tan L, Azinas S, Taylor DJR, Schiffer W, McNavish D, Burks HB, Gottlieb RA, Lorenzi PL, Hanson BM, Van Eyk JE, Taegtmeyer H, Karlstaedt A	Molecular metabolism	Autophagic signaling promotes systems-wide remodeling in skeletal muscle upon oncometabolic stress by D2-HG.	Not a relevant AI or machine learning publication	2024			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC11278897	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	38970690	10/03/2026 22:34:00	Wu G, Li T, Chen Y, Ye S, Zhou S, Tian X, Anwaier A, Zhu S, Xu W, Hao X, Ye D, Zhang H	Clinical and experimental medicine	Deciphering glutamine metabolism patterns for malignancy and tumor microenvironment in clear cell renal cell carcinoma.	Not a relevant AI or machine learning publication	2024			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC11227463	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	36851083	10/03/2026 22:34:00	Cheng Z, Chen Y, Huang H	Vaccines	Identification and Validation of a Novel Prognostic Signature Based on Ferroptosis-Related Genes in Ovarian Cancer.	Not a relevant AI or machine learning publication	2023			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC9962729	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	39839293	10/03/2026 22:34:00	Yang S, Weiskirchen R, Zheng W, Hu X, Zou A, Liu Z, Wang H	Frontiers in nutrition	A data-driven machine learning algorithm to predict the effectiveness of inulin intervention against type II diabetes.	Not a relevant AI or machine learning publication	2024			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC11747270	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	36589859	10/03/2026 22:34:00	Drake AJ, Phillips LA, Karna B, Murugesan SB, Villa LK, Smith NA	Food security	Food insecurity and disasters: predicting disparities in total and first-time food pantry visits during the COVID-19 pandemic.	Not a relevant AI or machine learning publication	2023			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC9789372	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	30830398	10/03/2026 22:34:00	Do KT, Wahl S, Raffler J, Molnos S, Laimighofer M, Adamski J, Suhre K, Strauch K, Peters A, Gieger C, Langenberg C, Stewart ID, Theis FJ, Grallert H, Kastenmüller G, Krumsiek J	Metabolomics : Official journal of the Metabolomic Society	Characterization of missing values in untargeted MS-based metabolomics data and evaluation of missing data handling strategies.	Not a relevant AI or machine learning publication	2018			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC6153696	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	36038778	10/03/2026 22:34:00	Vanguri RS, Luo J, Aukerman AT, Egger JV, Fong CJ, Horvat N, Pagano A, Araujo-Filho JAB, Geneslaw L, Rizvi H, Sosa R, Boehm KM, Yang SR, Bodd FM, Ventura K, Hollmann TJ, Ginsberg MS, Gao J, , Hellmann MD, Sauter JL, Shah SP	Nature cancer	Multimodal integration of radiology, pathology and genomics for prediction of response to PD-(L)1 blockade in patients with non-small cell lung cancer.	Not a relevant AI or machine learning publication	2022			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC9586871	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	38312282	10/03/2026 22:34:00	Warren E Jr, Hurley ET, Park CN, Crook BS, Lorentz S, Levin JM, Anakwenze O, MacDonald PB, Klifto CS	JSES international	Evaluation of information from artificial intelligence on rotator cuff repair surgery.	Not a relevant AI or machine learning publication	2024			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC10837709	TRUE
	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication	Not a relevant AI or machine learning publication			665a01aa7089c469b4646267	36972530	10/03/2026 22:34:00	Rahimi S, Chu C, Grad R, Karanofsky M, Arsenault M, Ronquillo C, Vedel I, McGilton K, Wilchesky M	Annals of family medicine	Explainable Machine Learning Model to Predict COVID-19 Severity Among Older Adults in the Province of Quebec.	Not a relevant AI or machine learning publication	2023			TRUE	2026-03-10T22:34:00.000+00:00	2026-03-10T22:34:00.000+00:00		undefined		0	2		Not a relevant AI or machine learning publication							PMC10549471	TRUE
